타임스탬프,학년,성별,학과,취미,개인공부시간,공부 시간대,기대연봉,학과 만족여부,전공 선호도,소셜미디어 사용시간,등교시간,하교시간,하교후 가는 곳,학업 스트레스,친구관계,알바,방과후 여부
2023. 10. 12 오후 2:50:26,2학년,남자,스마트웹콘텐츠과,게임,0-30분,기타,모르겠습니다,O,4,0-30분,10-30분,바로 집에 가요!,집,매우 좋음,나쁨,X,X
2023. 10. 12 오후 2:53:46,2학년,남자,스마트웹콘텐츠과,영상시청,0-30분,방과후(저녁),"30,000,000",O,8,2시간-3시간 이상,10-30분,바로 집에 가요!,학원 또는 방과후,좋음,좋음,X,O
2023. 10. 12 오후 3:08:25,2학년,남자,스마트웹콘텐츠과,게임,0-30분,방과후(저녁),3천만원,O,7,1시간-2시간,10-30분,바로 집에 가요!,집,매우 나쁨,좋음,O,O
2023. 10. 12 오후 3:12:59,2학년,여자,스마트웹콘텐츠과,예술,30분-1시간,밤,2000,O,10,2시간-3시간 이상,10-30분,17시 ~ 17시 30분,집,나쁨,매우 나쁨,X,X
2023. 10. 12 오후 3:13:50,3학년,여자,금융경영과,음악,30분-1시간,방과후(저녁),3000,O,7,1시간-2시간,30-1시간,18시 이후!,식당,나쁨,매우 좋음,X,X
2023. 10. 12 오후 3:16:29,1학년,여자,창업마케팅과,음악,1시간-2시간,밤,풀음 아직 잘모르겠습니다,O,4,30-1시간,1시간-2시간,18시 이후!,학원 또는 방과후,매우 나쁨,좋음,X,X
2023. 10. 12 오후 3:42:14,2학년,여자,스마트웹콘텐츠과,예술,0-30분,밤,400,O,5,2시간-3시간 이상,10-30분,18시 이후!,식당,좋음,좋음,O,X
2023. 10. 12 오후 3:46:07,1학년,남자,소프트웨어개발과,게임,2시간-3시간 이상,기타,1억,O,10,2시간-3시간 이상,2시간 이상,18시 이후!,식당,좋음,나쁨,X,X
2023. 10. 12 오후 3:46:13,2학년,여자,창업마케팅과,운동,2시간-3시간 이상,밤,아직 모르겠다,O,6,2시간-3시간 이상,30-1시간,18시 이후!,학원 또는 방과후,매우 나쁨,매우 나쁨,X,O
2023. 10. 12 오후 3:46:13,2학년,남자,소프트웨어개발과,게임,30분-1시간,밤,6000만원,O,8,1시간-2시간,1시간-2시간,바로 집에 가요!,집,나쁨,매우 좋음,X,O
2023. 10. 12 오후 3:46:14,1학년,여자,스마트웹콘텐츠과,기타,0-30분,방과후(저녁),모르겠음,X,5,2시간-3시간 이상,10-30분,18시 이후!,집,매우 나쁨,나쁨,X,O
2023. 10. 12 오후 3:46:33,1학년,남자,스마트웹콘텐츠과,운동,2시간-3시간 이상,방과후(저녁),3000천 이상,O,10,2시간-3시간 이상,30-1시간,18시 이후!,집,좋음,매우 좋음,O,O
2023. 10. 12 오후 3:46:36,2학년,남자,소프트웨어개발과,게임,30분-1시간,밤,2700,O,8,1시간-2시간,30-1시간,바로 집에 가요!,집,좋음,매우 나쁨,X,O
2023. 10. 12 오후 3:46:40,2학년,여자,소프트웨어개발과,영상시청,30분-1시간,밤,1억,O,10,2시간-3시간 이상,30-1시간,18시 이후!,학원 또는 방과후,나쁨,나쁨,O,O
2023. 10. 12 오후 3:47:13,2학년,여자,소프트웨어개발과,영상시청,0-30분,밤,억단위,X,9,30-1시간,10-30분,18시 이후!,집,나쁨,좋음,O,O
2023. 10. 12 오후 3:47:32,2학년,남자,소프트웨어개발과,게임,0-30분,기타,3000만원,X,2,0-30분,10-30분,바로 집에 가요!,집,나쁨,매우 좋음,X,O
2023. 10. 12 오후 3:47:55,2학년,남자,소프트웨어개발과,게임,0-30분,기타,4000,O,10,30-1시간,30-1시간,18시 이후!,집,매우 좋음,매우 좋음,X,O
2023. 10. 12 오후 3:47:58,2학년,남자,소프트웨어개발과,게임,0-30분,방과후(저녁),300,O,5,30-1시간,30-1시간,17시 ~ 17시 30분,학원 또는 방과후,매우 좋음,매우 좋음,X,O
2023. 10. 12 오후 3:48:12,2학년,남자,소프트웨어개발과,운동,30분-1시간,밤,주는대로 받는다,O,10,30-1시간,10-30분,바로 집에 가요!,집,좋음,좋음,X,O
2023. 10. 12 오후 3:48:28,1학년,남자,소프트웨어개발과,영상시청,1시간-2시간,밤,3000천원,X,0,30-1시간,10-30분,18시 이후!,식당,나쁨,나쁨,X,X
2023. 10. 12 오후 3:48:30,2학년,남자,소프트웨어개발과,게임,0-30분,밤,5000,O,10,2시간-3시간 이상,10-30분,바로 집에 가요!,집,좋음,매우 좋음,X,O
2023. 10. 12 오후 3:48:33,2학년,남자,소프트웨어개발과,게임,0-30분,밤,2700만,O,10,0-30분,1시간-2시간,바로 집에 가요!,집,나쁨,매우 좋음,X,O
2023. 10. 12 오후 3:48:38,1학년,여자,소프트웨어개발과,기타,30분-1시간,밤,2천 후반대,O,8,2시간-3시간 이상,1시간-2시간,18시 이후!,집,좋음,좋음,X,O
2023. 10. 12 오후 3:48:47,1학년,남자,소프트웨어개발과,게임,0-30분,밤,3000만,O,6,2시간-3시간 이상,30-1시간,바로 집에 가요!,학원 또는 방과후,나쁨,좋음,X,O
2023. 10. 12 오후 3:48:49,2학년,남자,소프트웨어개발과,음악,2시간-3시간 이상,방과후(저녁),2500만,O,10,0-30분,30-1시간,18시 이후!,집,매우 좋음,매우 좋음,X,O
2023. 10. 12 오후 3:48:52,1학년,남자,금융경영과,운동,30분-1시간,방과후(저녁),1000,X,6,1시간-2시간,10-30분,바로 집에 가요!,집,좋음,매우 좋음,X,O
2023. 10. 12 오후 3:48:54,2학년,남자,소프트웨어개발과,기타,1시간-2시간,기타,2800,O,8,1시간-2시간,10-30분,바로 집에 가요!,집,좋음,나쁨,X,X
2023. 10. 12 오후 3:49:18,2학년,남자,소프트웨어개발과,게임,30분-1시간,밤,2400,O,10,30-1시간,10-30분,17시 30분 ~ 18시,집,나쁨,나쁨,X,O
2023. 10. 12 오후 3:49:26,2학년,남자,소프트웨어개발과,게임,30분-1시간,밤,잘모르겠습니다,O,10,2시간-3시간 이상,10-30분,18시 이후!,학원 또는 방과후,좋음,매우 좋음,X,O
2023. 10. 12 오후 3:49:28,1학년,남자,금융경영과,기타,0-30분,기타,모르겠다,X,5,0-30분,10-30분,18시 이후!,PC방,나쁨,나쁨,O,X
2023. 10. 12 오후 3:49:35,2학년,남자,소프트웨어개발과,음악,2시간-3시간 이상,밤,5000만원,O,10,30-1시간,30-1시간,바로 집에 가요!,집,매우 나쁨,매우 좋음,X,O
2023. 10. 12 오후 3:49:39,1학년,남자,창업마케팅과,게임,30분-1시간,기타,초봉 1700정도..,O,6,1시간-2시간,30-1시간,바로 집에 가요!,집,나쁨,좋음,X,X
2023. 10. 12 오후 3:49:47,1학년,남자,소프트웨어개발과,게임,30분-1시간,방과후(저녁),1억,O,10,0-30분,1시간-2시간,바로 집에 가요!,집,매우 좋음,매우 좋음,X,O
2023. 10. 12 오후 3:50:20,1학년,남자,소프트웨어개발과,영상시청,30분-1시간,방과후(저녁),3~4천,O,6,30-1시간,1시간-2시간,18시 이후!,식당,나쁨,좋음,X,O
2023. 10. 12 오후 3:50:24,1학년,남자,소프트웨어개발과,영상시청,0-30분,밤,30000000,O,10,2시간-3시간 이상,10-30분,17시 ~ 17시 30분,집,좋음,좋음,X,O
2023. 10. 12 오후 3:50:38,1학년,남자,소프트웨어개발과,음악,30분-1시간,밤,3000천,O,10,1시간-2시간,30-1시간,17시 ~ 17시 30분,집,좋음,나쁨,X,O
2023. 10. 12 오후 3:50:49,1학년,남자,소프트웨어개발과,게임,30분-1시간,밤,1억,X,0,1시간-2시간,30-1시간,바로 집에 가요!,집,매우 나쁨,나쁨,X,X
2023. 10. 12 오후 3:50:51,1학년,여자,소프트웨어개발과,기타,30분-1시간,밤,잘 모르겠다,X,5,2시간-3시간 이상,30-1시간,17시 ~ 17시 30분,집,좋음,나쁨,O,X
2023. 10. 12 오후 3:50:56,1학년,여자,소프트웨어개발과,음악,0-30분,밤,3000만원,X,8,2시간-3시간 이상,10-30분,18시 이후!,식당,좋음,좋음,X,X
2023. 10. 12 오후 3:50:57,1학년,남자,스마트웹콘텐츠과,운동,0-30분,기타,500,O,6,2시간-3시간 이상,10-30분,바로 집에 가요!,집,매우 좋음,매우 좋음,X,X
2023. 10. 12 오후 3:51:11,1학년,남자,소프트웨어개발과,운동,30분-1시간,밤,4000,O,6,30-1시간,10-30분,18시 이후!,학원 또는 방과후,매우 나쁨,매우 좋음,X,O
2023. 10. 12 오후 3:51:17,2학년,남자,소프트웨어개발과,게임,30분-1시간,방과후(저녁),700만,O,10,0-30분,10-30분,바로 집에 가요!,학원 또는 방과후,매우 좋음,매우 좋음,X,O
2023. 10. 12 오후 3:51:23,1학년,남자,스마트웹콘텐츠과,게임,2시간-3시간 이상,기타,모르겠다,X,4,1시간-2시간,10-30분,바로 집에 가요!,집,나쁨,나쁨,X,X
2023. 10. 12 오후 3:51:24,2학년,남자,소프트웨어개발과,게임,30분-1시간,기타,많이,X,0,30-1시간,10-30분,바로 집에 가요!,학원 또는 방과후,나쁨,매우 좋음,X,X
2023. 10. 12 오후 3:51:30,1학년,남자,소프트웨어개발과,운동,30분-1시간,방과후(저녁),700,O,7,2시간-3시간 이상,30-1시간,18시 이후!,집,좋음,좋음,X,O
2023. 10. 12 오후 3:51:33,1학년,여자,소프트웨어개발과,영상시청,0-30분,밤,5000,X,5,1시간-2시간,10-30분,17시 30분 ~ 18시,집,매우 나쁨,좋음,X,O
2023. 10. 12 오후 3:51:38,1학년,남자,소프트웨어개발과,영상시청,0-30분,밤,1억,O,10,2시간-3시간 이상,30-1시간,18시 이후!,집,매우 나쁨,매우 나쁨,X,O
2023. 10. 12 오후 3:51:47,1학년,남자,소프트웨어개발과,운동,2시간-3시간 이상,방과후(저녁),3300만원,O,10,1시간-2시간,30-1시간,17시 ~ 17시 30분,집,좋음,나쁨,X,O
2023. 10. 12 오후 3:52:05,1학년,남자,금융경영과,게임,0-30분,기타,1억,O,5,0-30분,10-30분,18시 이후!,식당,좋음,나쁨,O,X
2023. 10. 12 오후 3:52:17,1학년,남자,금융경영과,운동,30분-1시간,방과후(저녁),8000만원 이상,O,6,30-1시간,10-30분,17시 ~ 17시 30분,집,좋음,나쁨,O,O
2023. 10. 12 오후 3:52:29,1학년,남자,스마트웹콘텐츠과,기타,1시간-2시간,방과후(저녁),평균보다 많았으면 좋겠다,X,6,30-1시간,10-30분,바로 집에 가요!,집,나쁨,매우 좋음,X,X
2023. 10. 12 오후 3:52:58,1학년,남자,소프트웨어개발과,기타,0-30분,밤,3000만,O,10,2시간-3시간 이상,30-1시간,바로 집에 가요!,집,좋음,매우 좋음,X,O
2023. 10. 12 오후 3:53:09,1학년,남자,소프트웨어개발과,게임,0-30분,방과후(저녁),1억,O,6,1시간-2시간,10-30분,바로 집에 가요!,집,나쁨,나쁨,X,O
2023. 10. 12 오후 3:53:12,1학년,여자,소프트웨어개발과,기타,30분-1시간,방과후(저녁),1억,O,10,30-1시간,30-1시간,바로 집에 가요!,집,매우 좋음,매우 좋음,X,O
2023. 10. 12 오후 3:53:26,1학년,남자,소프트웨어개발과,게임,0-30분,밤,3300만원,O,7,2시간-3시간 이상,30-1시간,바로 집에 가요!,집,나쁨,나쁨,X,O
2023. 10. 12 오후 3:53:28,2학년,남자,소프트웨어개발과,영상시청,30분-1시간,밤,2750만원,O,10,2시간-3시간 이상,30-1시간,바로 집에 가요!,학원 또는 방과후,나쁨,나쁨,X,O
2023. 10. 12 오후 3:53:42,1학년,남자,소프트웨어개발과,게임,30분-1시간,방과후(저녁),6000,X,4,30-1시간,30-1시간,18시 이후!,PC방,나쁨,매우 좋음,O,O
2023. 10. 12 오후 3:56:09,1학년,남자,소프트웨어개발과,게임,0-30분,기타,10억,O,5,1시간-2시간,10-30분,바로 집에 가요!,학원 또는 방과후,매우 나쁨,매우 좋음,X,O
2023. 10. 12 오후 4:10:16,3학년,여자,소프트웨어개발과,음악,0-30분,밤,3000만원,X,7,1시간-2시간,10-30분,17시 ~ 17시 30분,집,좋음,나쁨,O,X
2023. 10. 12 오후 4:30:54,1학년,여자,창업마케팅과,게임,2시간-3시간 이상,밤,100억,O,10,2시간-3시간 이상,10-30분,17시 ~ 17시 30분,학원 또는 방과후,매우 나쁨,나쁨,X,O
2023. 10. 12 오후 4:31:45,1학년,여자,창업마케팅과,게임,30분-1시간,밤,모르겠음,X,8,30-1시간,1시간-2시간,18시 이후!,식당,나쁨,매우 좋음,O,X
2023. 10. 12 오후 4:32:06,1학년,여자,창업마케팅과,기타,0-30분,밤,5천 이상,X,4,2시간-3시간 이상,10-30분,18시 이후!,식당,좋음,매우 좋음,O,X
2023. 10. 12 오후 4:32:19,1학년,여자,창업마케팅과,예술,0-30분,밤,모름,O,6,2시간-3시간 이상,1시간-2시간,18시 이후!,식당,좋음,나쁨,X,X
2023. 10. 12 오후 4:32:25,1학년,여자,창업마케팅과,예술,0-30분,기타,100000000000000000\\\\\\,X,5,30-1시간,10-30분,바로 집에 가요!,집,매우 나쁨,좋음,X,X
2023. 10. 12 오후 4:32:29,1학년,여자,창업마케팅과,기타,0-30분,기타,생각안해봄,O,5,2시간-3시간 이상,10-30분,18시 이후!,PC방,좋음,좋음,X,X
2023. 10. 12 오후 4:32:31,1학년,남자,창업마케팅과,운동,30분-1시간,밤,300,O,5,1시간-2시간,10-30분,바로 집에 가요!,학원 또는 방과후,좋음,나쁨,X,X
2023. 10. 12 오후 4:32:32,1학년,여자,창업마케팅과,기타,0-30분,기타,딱히 없음,O,5,2시간-3시간 이상,1시간-2시간,17시 ~ 17시 30분,집,좋음,매우 좋음,X,X
2023. 10. 12 오후 4:32:40,1학년,여자,창업마케팅과,기타,0-30분,기타,생각 안 해봄,X,0,0-30분,10-30분,18시 이후!,PC방,매우 좋음,매우 좋음,X,X
2023. 10. 12 오후 4:32:46,1학년,여자,창업마케팅과,음악,0-30분,밤,최대한 많이,O,5,0-30분,10-30분,18시 이후!,집,나쁨,좋음,X,X
2023. 10. 12 오후 4:32:47,1학년,여자,창업마케팅과,음악,0-30분,밤,생각안해봄,X,2,2시간-3시간 이상,10-30분,17시 ~ 17시 30분,집,나쁨,좋음,O,X
2023. 10. 12 오후 4:32:56,1학년,여자,창업마케팅과,음악,0-30분,밤,10억,O,5,30-1시간,30-1시간,17시 ~ 17시 30분,PC방,나쁨,매우 좋음,X,X
2023. 10. 12 오후 4:33:14,1학년,여자,창업마케팅과,음악,30분-1시간,밤,모르겠다,X,3,2시간-3시간 이상,10-30분,18시 이후!,PC방,좋음,좋음,O,X
2023. 10. 12 오후 4:34:20,1학년,남자,창업마케팅과,예술,0-30분,방과후(저녁),3천,X,10,1시간-2시간,30-1시간,18시 이후!,집,매우 좋음,매우 나쁨,O,X
2023. 10. 12 오후 4:34:34,1학년,남자,창업마케팅과,게임,0-30분,기타,1조,O,7,30-1시간,10-30분,18시 이후!,집,매우 나쁨,매우 나쁨,X,X
2023. 10. 12 오후 4:34:56,1학년,남자,창업마케팅과,운동,30분-1시간,기타,특전부사관 연봉,O,8,2시간-3시간 이상,1시간-2시간,18시 이후!,식당,나쁨,나쁨,O,X
2023. 10. 12 오후 4:35:16,1학년,남자,창업마케팅과,예술,0-30분,방과후(저녁),1억,X,1,1시간-2시간,10-30분,바로 집에 가요!,집,나쁨,좋음,X,X
2023. 10. 12 오후 4:36:06,1학년,남자,소프트웨어개발과,기타,2시간-3시간 이상,방과후(저녁),3억 7500만원,O,9,0-30분,30-1시간,바로 집에 가요!,학원 또는 방과후,나쁨,매우 나쁨,X,O
2023. 10. 12 오후 4:36:08,1학년,여자,창업마케팅과,음악,30분-1시간,밤,2500만원이상,X,2,2시간-3시간 이상,30-1시간,17시 30분 ~ 18시,PC방,나쁨,매우 좋음,X,X
2023. 10. 12 오후 4:36:43,1학년,남자,소프트웨어개발과,게임,1시간-2시간,방과후(저녁),1200만원,O,10,2시간-3시간 이상,30-1시간,18시 이후!,학원 또는 방과후,나쁨,매우 좋음,O,O
2023. 10. 12 오후 4:37:15,1학년,남자,소프트웨어개발과,기타,0-30분,방과후(저녁),3억,O,9,1시간-2시간,10-30분,18시 이후!,학원 또는 방과후,매우 나쁨,매우 좋음,X,O
2023. 10. 12 오후 4:38:12,1학년,남자,소프트웨어개발과,게임,2시간-3시간 이상,방과후(저녁),1억,O,8,2시간-3시간 이상,10-30분,바로 집에 가요!,집,좋음,나쁨,X,O
2023. 10. 12 오후 4:39:13,1학년,남자,소프트웨어개발과,운동,30분-1시간,방과후(저녁),50억,O,10,2시간-3시간 이상,1시간-2시간,18시 이후!,학원 또는 방과후,좋음,매우 좋음,X,O
2023. 10. 12 오후 4:39:36,1학년,남자,소프트웨어개발과,게임,2시간-3시간 이상,방과후(저녁),4000만원,O,8,1시간-2시간,10-30분,18시 이후!,집,좋음,매우 좋음,X,O
2023. 10. 12 오후 4:40:17,1학년,남자,소프트웨어개발과,게임,30분-1시간,방과후(저녁),2000만,O,6,0-30분,30-1시간,17시 30분 ~ 18시,학원 또는 방과후,나쁨,좋음,X,O
2023. 10. 12 오후 4:43:00,1학년,여자,소프트웨어개발과,게임,30분-1시간,방과후(저녁),3천만원,O,8,30-1시간,10-30분,17시 ~ 17시 30분,집,좋음,좋음,X,O
2023. 10. 12 오후 4:43:02,1학년,남자,소프트웨어개발과,게임,0-30분,방과후(저녁),1억 5천,O,10,2시간-3시간 이상,10-30분,18시 이후!,집,좋음,매우 나쁨,X,O
2023. 10. 12 오후 4:43:03,1학년,여자,소프트웨어개발과,게임,1시간-2시간,밤,1000,O,7,2시간-3시간 이상,10-30분,18시 이후!,학원 또는 방과후,나쁨,나쁨,X,O
2023. 10. 12 오후 4:43:25,1학년,남자,소프트웨어개발과,게임,30분-1시간,방과후(저녁),1억,O,10,0-30분,30-1시간,17시 ~ 17시 30분,집,나쁨,매우 좋음,X,O
