타임스탬프,학년,성별,학과,취미,개인공부시간,공부 시간대,기대연봉,학과 만족여부,전공 선호도,소셜미디어 사용시간,등교시간,하교시간,하교후 가는 곳,학업 스트레스,친구관계,알바,방과후 여부
2023. 10. 12 오후 4:45:04,1학년,남자,소프트웨어개발과,게임,30분-1시간,밤,70000000,O,6,30-1시간,10-30분,18시 이후!,집,좋음,나쁨,X,O
2023. 10. 12 오후 4:45:24,1학년,남자,소프트웨어개발과,게임,0-30분,방과후(저녁),300억,O,6,0-30분,10-30분,18시 이후!,집,매우 좋음,매우 좋음,X,O
2023. 10. 12 오후 4:46:08,1학년,남자,소프트웨어개발과,게임,30분-1시간,밤,250,X,3,1시간-2시간,10-30분,바로 집에 가요!,집,좋음,좋음,X,O
2023. 10. 12 오후 4:46:12,1학년,여자,소프트웨어개발과,게임,0-30분,기타,8000만,O,5,2시간-3시간 이상,10-30분,바로 집에 가요!,집,좋음,나쁨,X,O
2023. 10. 12 오후 4:46:16,1학년,남자,소프트웨어개발과,음악,0-30분,방과후(저녁),3000천만?,X,3,0-30분,10-30분,바로 집에 가요!,집,나쁨,나쁨,X,O
2023. 10. 12 오후 4:48:22,3학년,남자,스마트웹콘텐츠과,기타,0-30분,기타,모르겠다,X,0,0-30분,30-1시간,18시 이후!,식당,매우 나쁨,좋음,X,X
2023. 10. 12 오후 4:51:27,3학년,남자,스마트웹콘텐츠과,음악,2시간-3시간 이상,밤,1억,X,5,2시간-3시간 이상,30-1시간,18시 이후!,학원 또는 방과후,매우 나쁨,매우 좋음,X,X
2023. 10. 12 오후 5:04:13,1학년,여자,소프트웨어개발과,음악,1시간-2시간,밤,3600,X,5,30-1시간,10-30분,17시 30분 ~ 18시,학원 또는 방과후,나쁨,좋음,X,O
2023. 10. 12 오후 5:05:37,1학년,남자,소프트웨어개발과,게임,2시간-3시간 이상,밤,4700만원,O,10,0-30분,10-30분,18시 이후!,집,매우 나쁨,매우 좋음,X,O
2023. 10. 12 오후 5:18:46,2학년,남자,금융경영과,게임,30분-1시간,밤,3000만원~3500만원,O,10,0-30분,30-1시간,바로 집에 가요!,집,좋음,매우 좋음,O,X
2023. 10. 12 오후 5:32:11,2학년,남자,금융경영과,기타,0-30분,방과후(저녁),3천이상,X,5,2시간-3시간 이상,10-30분,18시 이후!,PC방,좋음,매우 좋음,X,X
2023. 10. 12 오후 5:32:58,2학년,여자,금융경영과,영상시청,2시간-3시간 이상,방과후(저녁),500~,X,5,2시간-3시간 이상,10-30분,18시 이후!,집,매우 나쁨,나쁨,X,X
2023. 10. 12 오후 6:04:49,2학년,남자,소프트웨어개발과,게임,1시간-2시간,밤,2800만원,O,10,1시간-2시간,30-1시간,바로 집에 가요!,집,나쁨,매우 좋음,X,O
2023. 10. 12 오후 6:05:24,2학년,남자,소프트웨어개발과,예술,2시간-3시간 이상,밤,3억,O,10,2시간-3시간 이상,2시간 이상,18시 이후!,집,좋음,좋음,O,O
2023. 10. 12 오후 6:05:36,2학년,남자,소프트웨어개발과,기타,0-30분,밤,최저임금,O,10,30-1시간,30-1시간,바로 집에 가요!,집,나쁨,매우 나쁨,X,O
2023. 10. 12 오후 6:06:12,2학년,남자,소프트웨어개발과,영상시청,1시간-2시간,밤,3000~4000,O,10,1시간-2시간,10-30분,바로 집에 가요!,집,나쁨,매우 좋음,X,O
2023. 10. 12 오후 6:08:58,2학년,남자,소프트웨어개발과,운동,0-30분,밤,4000만원,O,6,1시간-2시간,30-1시간,18시 이후!,식당,나쁨,나쁨,O,O
2023. 10. 12 오후 6:09:05,2학년,남자,소프트웨어개발과,운동,1시간-2시간,밤,많이,O,6,0-30분,10-30분,바로 집에 가요!,집,매우 나쁨,매우 좋음,X,O
2023. 10. 12 오후 6:10:42,2학년,남자,소프트웨어개발과,예술,30분-1시간,밤,200만 ~ 300만,O,7,2시간-3시간 이상,1시간-2시간,17시 30분 ~ 18시,집,좋음,좋음,X,X
2023. 10. 12 오후 6:11:46,2학년,남자,소프트웨어개발과,음악,0-30분,방과후(저녁),"25,000,000",O,5,1시간-2시간,30-1시간,17시 ~ 17시 30분,집,좋음,매우 좋음,X,O
2023. 10. 12 오후 6:11:47,2학년,남자,소프트웨어개발과,게임,30분-1시간,밤,2100 만원 이상,O,6,2시간-3시간 이상,10-30분,18시 이후!,PC방,좋음,매우 좋음,X,O
2023. 10. 12 오후 6:12:23,2학년,남자,소프트웨어개발과,게임,30분-1시간,방과후(저녁),3천,O,10,1시간-2시간,1시간-2시간,18시 이후!,집,매우 좋음,매우 좋음,X,O
2023. 10. 12 오후 6:12:32,2학년,남자,소프트웨어개발과,게임,30분-1시간,밤,5000위로,O,7,2시간-3시간 이상,10-30분,18시 이후!,집,좋음,매우 좋음,X,O
2023. 10. 12 오후 6:13:12,2학년,남자,소프트웨어개발과,운동,0-30분,방과후(저녁),1500억,O,6,1시간-2시간,30-1시간,18시 이후!,PC방,나쁨,매우 나쁨,X,O
2023. 10. 12 오후 6:14:08,2학년,남자,소프트웨어개발과,게임,1시간-2시간,방과후(저녁),4000만,O,5,1시간-2시간,10-30분,바로 집에 가요!,학원 또는 방과후,나쁨,나쁨,X,O
2023. 10. 12 오후 6:15:08,2학년,남자,소프트웨어개발과,게임,1시간-2시간,기타,4000,O,8,0-30분,30-1시간,17시 30분 ~ 18시,집,좋음,좋음,X,O
2023. 10. 12 오후 6:15:10,2학년,남자,소프트웨어개발과,운동,0-30분,방과후(저녁),2500만원,O,6,2시간-3시간 이상,30-1시간,18시 이후!,PC방,나쁨,매우 좋음,O,O
2023. 10. 12 오후 6:15:42,2학년,남자,소프트웨어개발과,음악,1시간-2시간,밤,10억,O,5,30-1시간,10-30분,바로 집에 가요!,집,매우 나쁨,매우 좋음,X,O
2023. 10. 12 오후 6:36:09,2학년,남자,창업마케팅과,음악,30분-1시간,방과후(저녁),"30,000,000",O,5,30-1시간,10-30분,17시 ~ 17시 30분,집,매우 좋음,매우 좋음,O,X
2023. 10. 12 오후 6:36:34,2학년,남자,소프트웨어개발과,게임,1시간-2시간,밤,3500,O,5,0-30분,30-1시간,17시 30분 ~ 18시,집,나쁨,좋음,X,O
2023. 10. 12 오후 6:55:54,2학년,여자,금융경영과,영상시청,0-30분,방과후(저녁),모르겠어요,X,5,2시간-3시간 이상,10-30분,18시 이후!,식당,나쁨,나쁨,X,X
2023. 10. 12 오후 7:04:43,2학년,남자,소프트웨어개발과,게임,30분-1시간,밤,3000만원,O,8,1시간-2시간,1시간-2시간,바로 집에 가요!,집,매우 좋음,매우 좋음,X,O
2023. 10. 12 오후 7:07:00,2학년,여자,부사관과,운동,1시간-2시간,밤,아직 모르겠습니다,O,9,1시간-2시간,30-1시간,18시 이후!,집,좋음,매우 좋음,X,O
2023. 10. 12 오후 7:08:53,1학년,남자,소프트웨어개발과,게임,30분-1시간,방과후(저녁),3억3천3백3십3만3원3천3백3십3원,O,7,0-30분,2시간 이상,18시 이후!,집,매우 나쁨,나쁨,X,O
2023. 10. 12 오후 7:08:58,2학년,여자,부사관과,운동,1시간-2시간,방과후(저녁),2000천,O,10,1시간-2시간,30-1시간,17시 30분 ~ 18시,집,나쁨,매우 나쁨,X,O
2023. 10. 12 오후 7:13:53,2학년,남자,부사관과,기타,1시간-2시간,밤,없다,O,10,30-1시간,10-30분,17시 30분 ~ 18시,집,매우 좋음,매우 좋음,X,X
2023. 10. 12 오후 7:15:20,2학년,남자,부사관과,운동,2시간-3시간 이상,방과후(저녁),3000,O,8,2시간-3시간 이상,10-30분,18시 이후!,학원 또는 방과후,나쁨,매우 나쁨,X,O
2023. 10. 12 오후 7:19:22,2학년,남자,부사관과,게임,2시간-3시간 이상,방과후(저녁),100만원 이상,O,5,2시간-3시간 이상,30-1시간,바로 집에 가요!,집,좋음,좋음,X,O
2023. 10. 12 오후 7:26:17,2학년,남자,부사관과,게임,2시간-3시간 이상,방과후(저녁),3000만원,O,7,1시간-2시간,10-30분,18시 이후!,학원 또는 방과후,나쁨,매우 좋음,X,O
2023. 10. 12 오후 7:30:40,2학년,여자,부사관과,음악,1시간-2시간,방과후(저녁),2500,O,8,0-30분,10-30분,바로 집에 가요!,학원 또는 방과후,나쁨,좋음,X,O
2023. 10. 12 오후 7:32:55,1학년,남자,소프트웨어개발과,게임,30분-1시간,밤,평균보다 많이,O,10,0-30분,1시간-2시간,18시 이후!,집,좋음,매우 좋음,X,O
2023. 10. 12 오후 7:39:43,1학년,남자,소프트웨어개발과,기타,0-30분,밤,4000만,O,7,0-30분,1시간-2시간,18시 이후!,학원 또는 방과후,나쁨,나쁨,X,O
2023. 10. 12 오후 7:40:16,2학년,남자,부사관과,운동,30분-1시간,방과후(저녁),2000,O,10,1시간-2시간,10-30분,바로 집에 가요!,집,좋음,매우 좋음,X,O
2023. 10. 12 오후 8:04:58,2학년,남자,부사관과,운동,1시간-2시간,밤,2400만원,O,8,1시간-2시간,10-30분,18시 이후!,학원 또는 방과후,나쁨,매우 좋음,X,O
2023. 10. 12 오후 8:05:32,2학년,남자,금융경영과,기타,1시간-2시간,방과후(저녁),3600이상,O,5,2시간-3시간 이상,10-30분,18시 이후!,집,나쁨,나쁨,X,X
2023. 10. 12 오후 8:22:37,2학년,남자,부사관과,운동,2시간-3시간 이상,방과후(저녁),3000만원,O,8,1시간-2시간,1시간-2시간,18시 이후!,학원 또는 방과후,나쁨,나쁨,X,O
2023. 10. 12 오후 11:42:25,1학년,남자,소프트웨어개발과,운동,0-30분,밤,2400,X,3,0-30분,10-30분,18시 이후!,집,나쁨,매우 나쁨,X,O
2023. 10. 12 오후 11:54:39,2학년,여자,스마트웹콘텐츠과,예술,1시간-2시간,밤,평균 연봉,X,5,2시간-3시간 이상,10-30분,18시 이후!,집,매우 나쁨,좋음,X,O
2023. 10. 13 오전 12:24:40,2학년,남자,창업마케팅과,게임,0-30분,기타,"6,000만원",X,2,2시간-3시간 이상,30-1시간,18시 이후!,식당,매우 좋음,매우 좋음,O,X
2023. 10. 13 오전 1:12:48,2학년,남자,소프트웨어개발과,운동,0-30분,방과후(저녁),모르겠다,X,3,1시간-2시간,10-30분,18시 이후!,식당,매우 나쁨,매우 좋음,X,O
2023. 10. 13 오전 6:29:59,2학년,남자,소프트웨어개발과,기타,1시간-2시간,방과후(저녁),250~300,X,6,1시간-2시간,1시간-2시간,18시 이후!,집,나쁨,좋음,X,O
2023. 10. 13 오전 7:15:31,2학년,여자,부사관과,운동,30분-1시간,밤,많이,O,8,30-1시간,10-30분,바로 집에 가요!,집,매우 나쁨,나쁨,O,O
2023. 10. 13 오전 8:36:09,2학년,남자,소프트웨어개발과,게임,0-30분,방과후(저녁),안굶어죽을정도,O,10,0-30분,10-30분,바로 집에 가요!,집,매우 좋음,매우 좋음,X,O
2023. 10. 13 오전 8:56:51,1학년,여자,스마트웹콘텐츠과,예술,0-30분,밤,어..잘 모르겠습니다,X,8,1시간-2시간,10-30분,바로 집에 가요!,집,매우 좋음,좋음,X,O
2023. 10. 13 오전 8:57:04,1학년,남자,스마트웹콘텐츠과,운동,30분-1시간,밤,잘 모르겠습니다,O,6,30-1시간,10-30분,바로 집에 가요!,집,매우 나쁨,좋음,X,X
2023. 10. 13 오전 8:57:20,1학년,남자,스마트웹콘텐츠과,게임,0-30분,방과후(저녁),180,O,5,30-1시간,30-1시간,17시 ~ 17시 30분,PC방,좋음,나쁨,X,O
2023. 10. 13 오전 8:57:37,1학년,남자,스마트웹콘텐츠과,게임,30분-1시간,방과후(저녁),4000이상,O,8,30-1시간,30-1시간,18시 이후!,집,좋음,매우 좋음,X,O
2023. 10. 13 오전 8:59:21,1학년,남자,스마트웹콘텐츠과,게임,1시간-2시간,방과후(저녁),3000,O,9,30-1시간,10-30분,17시 ~ 17시 30분,집,좋음,매우 좋음,X,O
2023. 10. 13 오전 8:59:48,1학년,남자,스마트웹콘텐츠과,게임,0-30분,기타,몰르겠다,O,2,30-1시간,10-30분,바로 집에 가요!,집,매우 나쁨,나쁨,X,X
2023. 10. 13 오전 8:59:49,1학년,남자,스마트웹콘텐츠과,운동,1시간-2시간,밤,300,X,2,0-30분,30-1시간,18시 이후!,식당,매우 나쁨,매우 좋음,O,X
2023. 10. 13 오전 9:00:01,1학년,남자,스마트웹콘텐츠과,게임,0-30분,밤,2400,X,2,30-1시간,10-30분,18시 이후!,학원 또는 방과후,나쁨,좋음,O,X
2023. 10. 13 오전 9:00:08,1학년,남자,스마트웹콘텐츠과,게임,30분-1시간,방과후(저녁),3000,O,7,30-1시간,10-30분,바로 집에 가요!,집,좋음,매우 좋음,X,O
2023. 10. 13 오전 9:00:27,1학년,여자,스마트웹콘텐츠과,영상시청,30분-1시간,밤,모르겠다,O,5,2시간-3시간 이상,30-1시간,18시 이후!,집,매우 좋음,매우 좋음,X,X
2023. 10. 13 오전 9:00:32,1학년,여자,스마트웹콘텐츠과,예술,0-30분,기타,8000~1억..... ... .. .,X,5,1시간-2시간,10-30분,바로 집에 가요!,집,매우 나쁨,좋음,X,O
2023. 10. 13 오전 9:01:17,1학년,남자,스마트웹콘텐츠과,게임,0-30분,밤,100만원 이상,X,4,1시간-2시간,10-30분,바로 집에 가요!,집,좋음,나쁨,X,X
2023. 10. 13 오전 9:27:17,1학년,여자,부사관과,예술,1시간-2시간,방과후(저녁),최대 5억,O,8,1시간-2시간,30-1시간,바로 집에 가요!,집,좋음,매우 좋음,X,X
2023. 10. 13 오전 9:27:25,1학년,남자,부사관과,운동,0-30분,방과후(저녁),100억,O,10,2시간-3시간 이상,30-1시간,18시 이후!,식당,매우 나쁨,매우 좋음,O,X
2023. 10. 13 오전 9:27:27,1학년,여자,부사관과,영상시청,1시간-2시간,방과후(저녁),500만원,O,5,30-1시간,10-30분,17시 ~ 17시 30분,집,좋음,좋음,X,O
2023. 10. 13 오전 9:27:36,1학년,여자,부사관과,운동,1시간-2시간,밤,6억,O,10,2시간-3시간 이상,30-1시간,18시 이후!,학원 또는 방과후,좋음,매우 나쁨,O,X
2023. 10. 13 오전 9:27:54,1학년,남자,부사관과,운동,1시간-2시간,방과후(저녁),1억,O,10,30-1시간,30-1시간,바로 집에 가요!,집,매우 좋음,매우 좋음,X,X
2023. 10. 13 오전 9:28:04,1학년,남자,부사관과,운동,30분-1시간,방과후(저녁),1억,O,10,1시간-2시간,10-30분,바로 집에 가요!,집,나쁨,매우 좋음,X,X
2023. 10. 13 오전 9:28:15,1학년,여자,부사관과,음악,1시간-2시간,방과후(저녁),8000천,O,6,30-1시간,10-30분,바로 집에 가요!,집,좋음,나쁨,O,O
2023. 10. 13 오전 9:28:31,1학년,여자,부사관과,영상시청,0-30분,방과후(저녁),7000,O,10,1시간-2시간,10-30분,18시 이후!,학원 또는 방과후,좋음,매우 좋음,X,X
2023. 10. 13 오전 9:28:50,1학년,남자,부사관과,운동,30분-1시간,방과후(저녁),70000000,O,5,2시간-3시간 이상,10-30분,바로 집에 가요!,집,좋음,매우 나쁨,O,X
2023. 10. 13 오전 9:29:37,1학년,여자,부사관과,운동,1시간-2시간,방과후(저녁),5억,O,10,1시간-2시간,30-1시간,바로 집에 가요!,집,매우 나쁨,좋음,X,X
2023. 10. 13 오전 9:29:45,1학년,남자,부사관과,게임,30분-1시간,방과후(저녁),3000만원,O,8,1시간-2시간,30-1시간,바로 집에 가요!,집,매우 나쁨,좋음,X,X
2023. 10. 13 오전 9:29:52,1학년,남자,부사관과,운동,30분-1시간,방과후(저녁),3000만원,O,10,1시간-2시간,10-30분,바로 집에 가요!,집,좋음,좋음,X,X
2023. 10. 13 오전 9:30:25,1학년,여자,부사관과,운동,30분-1시간,방과후(저녁),7억,O,8,2시간-3시간 이상,10-30분,17시 ~ 17시 30분,집,나쁨,매우 좋음,O,X
2023. 10. 13 오전 9:30:31,1학년,여자,부사관과,영상시청,0-30분,밤,3000만원,O,6,1시간-2시간,2시간 이상,18시 이후!,학원 또는 방과후,매우 좋음,나쁨,X,X
2023. 10. 13 오전 9:30:31,1학년,여자,부사관과,기타,1시간-2시간,밤,칠천만원,O,10,2시간-3시간 이상,10-30분,18시 이후!,학원 또는 방과후,좋음,매우 좋음,X,X
2023. 10. 13 오전 9:30:44,1학년,남자,부사관과,운동,30분-1시간,밤,1억,O,10,30-1시간,30-1시간,18시 이후!,집,나쁨,매우 좋음,O,X
2023. 10. 13 오전 9:31:19,1학년,여자,부사관과,영상시청,1시간-2시간,밤,1억,O,6,1시간-2시간,10-30분,18시 이후!,학원 또는 방과후,나쁨,좋음,X,O
2023. 10. 13 오전 9:32:33,1학년,여자,부사관과,운동,1시간-2시간,밤,7천만원,O,8,30-1시간,30-1시간,바로 집에 가요!,집,좋음,좋음,X,X
2023. 10. 13 오전 9:32:33,1학년,여자,부사관과,운동,0-30분,밤,2500이상,O,10,1시간-2시간,10-30분,바로 집에 가요!,집,나쁨,매우 좋음,O,X
2023. 10. 13 오전 9:32:51,1학년,남자,부사관과,운동,30분-1시간,방과후(저녁),달에 300 36000000,O,7,30-1시간,10-30분,18시 이후!,PC방,나쁨,매우 나쁨,X,X
2023. 10. 13 오전 10:00:05,1학년,남자,부사관과,운동,0-30분,방과후(저녁),20000000,O,9,2시간-3시간 이상,30-1시간,18시 이후!,식당,매우 좋음,좋음,O,X
2023. 10. 13 오전 10:30:19,1학년,여자,부사관과,게임,1시간-2시간,방과후(저녁),4천만원,O,9,1시간-2시간,30-1시간,17시 30분 ~ 18시,PC방,나쁨,나쁨,O,X
2023. 10. 13 오전 10:57:47,1학년,여자,부사관과,음악,1시간-2시간,방과후(저녁),5억,O,10,1시간-2시간,30-1시간,18시 이후!,식당,좋음,좋음,X,X
2023. 10. 13 오후 2:57:37,2학년,남자,스마트웹콘텐츠과,게임,30분-1시간,방과후(저녁),4000,O,7,30-1시간,10-30분,바로 집에 가요!,집,좋음,좋음,X,X
2023. 10. 16 오전 5:30:44,2학년,남자,창업마케팅과,음악,0-30분,밤,1억,O,2,0-30분,10-30분,바로 집에 가요!,집,좋음,매우 좋음,X,X
